http://cloc.sourceforge.net v 1.53  T=3.0 s (60.0 files/s, 14649.3 lines/s)
---------------------------------------------------------------------------------------------------------------------
File                                                                              blank        comment           code
---------------------------------------------------------------------------------------------------------------------
RDFDatabank/rdfdatabank/tests/TestSubmission_submitter.py                           316            876           7155
RDFDatabank/rdfdatabank/tests/TestSubmission.py                                      86            559           3873
RDFDatabank/sss/sss-1.0.py                                                          574           1013           1890
RDFDatabank/rdfdatabank/public/static/styles/basic.css                              367             79           1126
RDFDatabank/rdfdatabank/controllers/datasets.py                                      80            108            901
RDFDatabank/sss/repository.py                                                       230            355            706
RDFDatabank/sss/core.py                                                             162            275            680
RDFDatabank/sss/pylons_sword_controller.py                                          181            298            562
RecordSilo/recordsilo/records.py                                                     74             16            539
RDFDatabank/sss/webpy.py                                                            174            321            520
RDFDatabank/sss/negotiator.py                                                       161            309            488
RDFDatabank/rdfdatabank/templates/datasets_api.html                                   4              6            483
RDFDatabank/rdfdatabank/templates/admin_api.html                                      4              6            478
RDFDatabank/rdfdatabank/controllers/users.py                                         39             46            453
RDFDatabank/rdfdatabank/public/static/style.css                                      85             10            429
RDFDatabank/rdfdatabank/controllers/search.py                                        81             43            398
RDFDatabank/rdfdatabank/templates/search_response_options.html                       13              0            396
RDFDatabank/rdfdatabank/lib/utils.py                                                 36             65            386
RDFDatabank/rdfdatabank/controllers/items.py                                         60             69            379
RDFDatabank/rdfdatabank/lib/sword_server.py                                         145            294            354
RDFDatabank/rdfdatabank/lib/auth_entry.py                                            46             67            324
RDFDatabank/rdfdatabank/controllers/admin.py                                         26             59            315
RDFDatabank/sss/sss_client_tools.py                                                  91             42            303
RDFDatabank/rdfdatabank/tests/testlib/SparqlQueryTestCase.py                         47             91            267
RDFDatabank/rdfdatabank/controllers/doi.py                                           27             55            249
RDFDatabank/rdfdatabank/tests/TestSubmission_load.py                                 30             79            240
RDFDatabank/rdfdatabank/templates/rdf_manifest.html                                   1             20            225
RDFDatabank/rdfdatabank/lib/conneg.py                                                35             44            210
RDFDatabank/rdfdatabank/lib/search_term.py                                            9             20            201
RDFDatabank/sss/spec.py                                                              36             19            197
RDFDatabank/rdfdatabank/templates/search_response_display.html                       11              0            184
RDFDatabank/debian/postinst                                                          17             27            178
RDFDatabank/ez_setup.py                                                              66             41            169
RecordSilo/ez_setup.py                                                               26             41            169
RDFDatabank/rdfdatabank/lib/file_unpack.py                                           43            129            166
RDFDatabank/rdfdatabank/templates/datasetview.html                                   13             41            158
RecordSilo/recordsilo/silo.py                                                        41              5            149
RDFDatabank/sss/ingesters_disseminators.py                                           50             49            148
RDFDatabank/rdfdatabank/templates/list_of_datasets.html                               6              0            145
